obat,volume,cv,frekuensi,stok,cluster,segmen
ACETYLCYSTEIN KAP,664.0,0.5603256069095784,11,1971.0833333333333,1,Fast-moving stabil
ACYCLOVIR SALEP,23.88888888888889,0.6453226476982142,9,88.25,4,Medium-moving fluktuatif
ACYCLOVIR TABLET,336.8888888888889,0.4761865995291835,9,1899.5,1,Fast-moving stabil
ALLOPURINOL TABLET,22.5,0.6778081353250027,6,524.4166666666666,2,Fast-moving fluktuatif
AMBEVEN TABLET,40.0,0.40089186286863654,7,190.0,2,Fast-moving fluktuatif
AMBROXOL TABLET,302.0,1.0842335889143213,5,1633.3333333333333,2,Fast-moving fluktuatif
AMLODIPINE 10 MG TABLET,42.45454545454545,0.5385683750572743,11,348.9166666666667,1,Fast-moving stabil
AMLODIPINE 5 MG,91.36363636363636,0.221540003764531,11,318.0833333333333,1,Fast-moving stabil
AMOXCICILIN SIRUP,2.5555555555555554,0.6148754619013458,9,10.333333333333334,4,Medium-moving fluktuatif
AMOXICILLIN TABLET,139.4,0.8693339139513034,5,842.3333333333334,2,Fast-moving fluktuatif
ANTASIDA TABLET,245.0,0.0,1,1155.0,5,Medium-moving stabil
ARKAVIT-C TABLET,265.0,1.0,2,70.0,2,Fast-moving fluktuatif
ASAM MEFENAMAT 500 MG TABLET,341.0,1.0454415521112292,11,701.0833333333334,1,Fast-moving stabil
AZITROMICYN TABLET,41.0,0.888621977244207,10,234.58333333333334,1,Fast-moving stabil
BECEFORT TAB,186.25,0.9819551136544872,8,167.08333333333334,1,Fast-moving stabil
BECOMZET TABLET,882.3,0.7675127489639181,10,1127.6666666666667,1,Fast-moving stabil
BENOSON-G SALEP,0.42857142857142855,1.699673171197595,7,10.916666666666666,3,Slow-moving fluktuatif
BENOSON-M SALEP,1.4,0.5714285714285715,5,3.5833333333333335,4,Medium-moving fluktuatif
BENOSON-N 15 G SALEP,2.4444444444444446,0.642824346533225,9,14.083333333333334,4,Medium-moving fluktuatif
BETADINE 15 ML,1.0,0.0,1,1.0,0,Slow-moving stabil
BISOPROROL 5 TABLET,25.0,0.834950811211569,7,439.1666666666667,2,Fast-moving fluktuatif
BUSCOPAN INJEKSI,6.666666666666667,0.7314369419163896,9,8.333333333333334,4,Medium-moving fluktuatif
CAIRAN INFUS NACL 500ML,9.5,0.8670643309562563,10,15.25,4,Medium-moving fluktuatif
CAIRAN INFUS RINGER LAKTAT 500ML,5.0,0.5163977794943222,6,16.75,4,Medium-moving fluktuatif
CALLUSOL,3.0,0.5270462766947299,4,10.333333333333334,4,Medium-moving fluktuatif
CALORTUSIN TABLET,55.0,1.0,2,305.8333333333333,2,Fast-moving fluktuatif
CANDESARTAN 16MG TAB,30.0,0.0,1,170.0,5,Medium-moving stabil
CANDESARTAN 8MG TAB,29.8,0.9633619793824492,5,149.16666666666666,2,Fast-moving fluktuatif
"CAPTOPRIL 12,5MG TABLET",7.5,0.3333333333333333,2,202.66666666666666,5,Medium-moving stabil
CEFADROXIL 500MG KAPSUL,283.6363636363636,1.138700454256228,11,1293.75,1,Fast-moving stabil
CEFIXIME SIRUP,2.857142857142857,0.5099019513592785,7,9.333333333333334,4,Medium-moving fluktuatif
CENDOXITROL TETES MATA STERIL,1.9,0.6842105263157895,10,7.5,4,Medium-moving fluktuatif
CETIRIZINE 10 MG TABLET,390.72727272727275,0.648334477458031,11,1052.9166666666667,1,Fast-moving stabil
CIPROFLOXASIN 500 MG TABLET,93.66666666666667,0.5899535892952267,6,663.0833333333334,2,Fast-moving fluktuatif
COMBANTRIN 250 MG TABLET,7.555555555555555,0.6922707232905777,9,100.0,4,Medium-moving fluktuatif
COMBIVENT RESPULE,0.0,0.0,1,0.0,0,Slow-moving stabil
