demand_lag1,demand_lag2,rolling_mean3,visit_count,stok_prev,AMC,sigma_bln,ADI,CV2,bulan,ABC_enc,VEN_enc,kategori_enc,demand_winsor,obat,periode,split
0.0,0.0,0.0,346,0.0,629.5,297.49,2.0,0.2233,1,2,1,3,471.0,ACETYLCYSTEIN KAP,2025-01,train
471.0,0.0,471.0,541,3953.0,629.5,297.49,2.0,0.2233,2,2,1,3,1368.0,ACETYLCYSTEIN KAP,2025-02,train
1368.0,471.0,919.5,521,2346.0,629.5,297.49,2.0,0.2233,3,2,1,3,570.0,ACETYLCYSTEIN KAP,2025-03,train
570.0,1368.0,803.0,417,2634.0,629.5,297.49,2.0,0.2233,4,2,1,3,396.0,ACETYLCYSTEIN KAP,2025-04,train
396.0,570.0,778.0,389,2238.0,629.5,297.49,2.0,0.2233,5,2,1,3,419.0,ACETYLCYSTEIN KAP,2025-05,train
419.0,396.0,461.6666666666667,274,2319.0,629.5,297.49,2.0,0.2233,6,2,1,3,290.0,ACETYLCYSTEIN KAP,2025-06,train
290.0,419.0,368.3333333333333,351,2029.0,629.5,297.49,2.0,0.2233,7,2,1,3,475.0,ACETYLCYSTEIN KAP,2025-07,train
475.0,290.0,394.6666666666667,450,1554.0,629.5,297.49,2.0,0.2233,8,2,1,3,850.0,ACETYLCYSTEIN KAP,2025-08,train
850.0,475.0,538.3333333333334,646,704.0,629.5,297.49,2.0,0.2233,9,2,1,3,790.0,ACETYLCYSTEIN KAP,2025-09,train
790.0,850.0,705.0,1097,14.0,629.5,297.49,2.0,0.2233,10,2,1,3,1368.0,ACETYLCYSTEIN KAP,2025-10,train
1368.0,790.0,1002.6666666666666,102,2346.0,629.5,297.49,2.0,0.2233,11,2,1,3,838.0,ACETYLCYSTEIN KAP,2025-11,validation
838.0,1368.0,998.6666666666666,263,2346.0,629.5,297.49,2.0,0.2233,12,2,1,3,307.0,ACETYLCYSTEIN KAP,2025-12,test
0.0,0.0,0.0,346,0.0,15.67,14.02,2.375,0.3506,1,0,2,1,13.0,ACYCLOVIR SALEP,2025-01,train
13.0,0.0,13.0,541,59.0,15.67,14.02,2.375,0.3506,2,0,2,1,50.0,ACYCLOVIR SALEP,2025-02,train
50.0,13.0,31.5,521,104.0,15.67,14.02,2.375,0.3506,3,0,2,1,22.0,ACYCLOVIR SALEP,2025-03,train
22.0,50.0,28.333333333333332,417,14.0,15.67,14.02,2.375,0.3506,4,0,2,1,24.0,ACYCLOVIR SALEP,2025-04,train
24.0,22.0,32.0,389,14.0,15.67,14.02,2.375,0.3506,5,0,2,1,25.0,ACYCLOVIR SALEP,2025-05,train
25.0,24.0,23.666666666666668,274,39.0,15.67,14.02,2.375,0.3506,6,0,2,1,20.0,ACYCLOVIR SALEP,2025-06,train
20.0,25.0,23.0,351,144.0,15.67,14.02,2.375,0.3506,7,0,2,1,14.0,ACYCLOVIR SALEP,2025-07,train
14.0,20.0,19.666666666666668,450,130.0,15.67,14.02,2.375,0.3506,8,0,2,1,8.0,ACYCLOVIR SALEP,2025-08,train
8.0,14.0,14.0,646,130.0,15.67,14.02,2.375,0.3506,9,0,2,1,1.0,ACYCLOVIR SALEP,2025-09,train
1.0,8.0,7.666666666666667,1097,154.0,15.67,14.02,2.375,0.3506,10,0,2,1,50.0,ACYCLOVIR SALEP,2025-10,train
50.0,1.0,19.666666666666668,102,104.0,15.67,14.02,2.375,0.3506,11,0,2,1,35.0,ACYCLOVIR SALEP,2025-11,validation
35.0,50.0,28.666666666666668,263,104.0,15.67,14.02,2.375,0.3506,12,0,2,1,20.0,ACYCLOVIR SALEP,2025-12,test
0.0,0.0,0.0,346,0.0,226.33,211.83,2.5714,0.2507,1,2,2,1,240.0,ACYCLOVIR TABLET,2025-01,train
240.0,0.0,240.0,541,530.0,226.33,211.83,2.5714,0.2507,2,2,2,1,316.0,ACYCLOVIR TABLET,2025-02,train
316.0,240.0,278.0,521,2304.0,226.33,211.83,2.5714,0.2507,3,2,2,1,740.0,ACYCLOVIR TABLET,2025-03,train
740.0,316.0,432.0,417,1640.0,226.33,211.83,2.5714,0.2507,4,2,2,1,565.0,ACYCLOVIR TABLET,2025-04,train
565.0,740.0,540.3333333333334,389,1640.0,226.33,211.83,2.5714,0.2507,5,2,2,1,390.0,ACYCLOVIR TABLET,2025-05,train
390.0,565.0,565.0,274,1250.0,226.33,211.83,2.5714,0.2507,6,2,2,1,160.0,ACYCLOVIR TABLET,2025-06,train
160.0,390.0,371.6666666666667,351,1090.0,226.33,211.83,2.5714,0.2507,7,2,2,1,236.0,ACYCLOVIR TABLET,2025-07,train
236.0,160.0,262.0,450,2854.0,226.33,211.83,2.5714,0.2507,8,2,2,1,235.0,ACYCLOVIR TABLET,2025-08,train
235.0,236.0,210.33333333333334,646,2854.0,226.33,211.83,2.5714,0.2507,9,2,2,1,234.0,ACYCLOVIR TABLET,2025-09,train
234.0,235.0,235.0,1097,2620.0,226.33,211.83,2.5714,0.2507,10,2,2,1,316.0,ACYCLOVIR TABLET,2025-10,train
316.0,234.0,261.6666666666667,102,2304.0,226.33,211.83,2.5714,0.2507,11,2,2,1,358.0,ACYCLOVIR TABLET,2025-11,validation
358.0,316.0,302.6666666666667,263,2304.0,226.33,211.83,2.5714,0.2507,12,2,2,1,400.0,ACYCLOVIR TABLET,2025-12,test
0.0,0.0,0.0,346,0.0,13.75,15.98,2.8333,0.3712,1,0,0,1,10.0,ALLOPURINOL TABLET,2025-01,train
10.0,0.0,10.0,541,552.0,13.75,15.98,2.8333,0.3712,2,0,0,1,14.0,ALLOPURINOL TABLET,2025-02,train
14.0,10.0,12.0,521,552.0,13.75,15.98,2.8333,0.3712,3,0,0,1,18.0,ALLOPURINOL TABLET,2025-03,train
18.0,14.0,14.0,417,512.0,13.75,15.98,2.8333,0.3712,4,0,0,1,24.0,ALLOPURINOL TABLET,2025-04,train
24.0,18.0,18.666666666666668,389,512.0,13.75,15.98,2.8333,0.3712,5,0,0,1,29.0,ALLOPURINOL TABLET,2025-05,train
29.0,24.0,23.666666666666668,274,512.0,13.75,15.98,2.8333,0.3712,6,0,0,1,34.0,ALLOPURINOL TABLET,2025-06,train
34.0,29.0,29.0,351,512.0,13.75,15.98,2.8333,0.3712,7,0,0,1,40.0,ALLOPURINOL TABLET,2025-07,train
