obat,kategori_demand,metode_terbaik,WAPE,MAPE,MAD,MSE,mutu
ACETYLCYSTEIN KAP,smooth,SES,67.1,64.3,394.39,201721.25,Bad
ACITRAL TAB,data tidak cukup,aturan stok,,,,,N/A
ACYCLOVIR SALEP,intermittent,Croston,76.7,62.0,7.67,81.19,Bad
ACYCLOVIR TABLET,intermittent,Croston,81.2,69.2,162.33,39483.87,Bad
ALLOPURINOL TABLET,intermittent,SBA,79.5,66.3,15.9,394.91,Bad
AMBEVEN TABLET,intermittent,Croston,60.0,60.0,18.01,349.49,Bad
AMBROXOL SIRUP,data tidak cukup,aturan stok,,,,,N/A
AMBROXOL TABLET,lumpy,-,,,,,N/A
AMLODIPINE 10 MG TABLET,smooth,SES,60.8,54.3,23.7,813.59,Bad
AMLODIPINE 5 MG,smooth,SES,65.4,62.3,68.68,5752.77,Bad
AMOXCICILIN SIRUP,intermittent,SBA,33.3,32.2,0.5,0.29,Good
AMOXICILLIN TABLET,erratic,SES,,,24.52,601.36,N/A
ANTASIDA TABLET,data tidak cukup,aturan stok,,,,,N/A
ANTRAIN TAB (METAMIZOLE SODIUM),data tidak cukup,aturan stok,,,,,N/A
ARKAVIT-C TABLET,lumpy,SBA,123.7,85.0,43.29,2137.58,Tidak Layak
ASAM MEFENAMAT 500 MG TABLET,erratic,SES,56.2,47.8,264.3,115082.6,Bad
AZITROMICYN TABLET,erratic,SES,64.8,45.1,31.84,2002.21,Bad
BECEFORT TAB,lumpy,-,,,,,N/A
BECOMZET TABLET,erratic,SES,56.5,52.7,343.59,155109.91,Bad
BEDAK SALISYL,data tidak cukup,aturan stok,,,,,N/A
BENOSON-G SALEP,intermittent,-,,,,,N/A
BENOSON-M SALEP,lumpy,-,,,,,N/A
BENOSON-N 15 G SALEP,intermittent,Croston,76.6,61.7,1.53,3.22,Bad
BETADINE KUMUR,data tidak cukup,aturan stok,,,,,N/A
BIOLYSIN KIDS TAB KUNYAH,data tidak cukup,aturan stok,,,,,N/A
BIOPLACENTON,data tidak cukup,aturan stok,,,,,N/A
"BISOPROLOL 2,5MG",data tidak cukup,aturan stok,,,,,N/A
BISOPROROL 5 TABLET,lumpy,-,,,,,N/A
BUSCOPAN INJEKSI,intermittent,-,,,,,N/A
Betadine 15 ml,data tidak cukup,aturan stok,,,,,N/A
CAIRAN INFUS NACL 500ML,lumpy,Croston,131.9,67.1,2.64,6.96,Tidak Layak
CAIRAN INFUS RINGER LAKTAT 500ML,intermittent,-,,,,,N/A
CALLUSOL,intermittent,-,,,,,N/A
CALORTUSIN TABLET,lumpy,-,,,,,N/A
CANDESARTAN 16MG TAB,data tidak cukup,aturan stok,,,,,N/A
CANDESARTAN 8MG TAB,data tidak cukup,aturan stok,,,,,N/A
"CAPTOPRIL 12,5MG TABLET",intermittent,-,,,,,N/A
CEFADROXIL 250MG SIRUP,data tidak cukup,aturan stok,,,,,N/A
CEFADROXIL 500MG KAPSUL,erratic,SES,71.4,106.4,105.3,11743.06,Bad
CEFIXIME 200MG,data tidak cukup,aturan stok,,,,,N/A
CEFIXIME SIRUP,intermittent,Croston,81.9,81.9,4.09,16.98,Bad
CENDO LYTERS TETES MATA,data tidak cukup,aturan stok,,,,,N/A
CENDOXITROL TETES MATA STERIL,intermittent,-,,,,,N/A
CETIRIZINE 10 MG TABLET,smooth,SES,79.7,76.4,388.15,175020.47,Bad
CETIRIZINE SIRUP,data tidak cukup,aturan stok,,,,,N/A
CIPROFLOXASIN 500 MG TABLET,smooth,SES,56.1,48.6,36.49,1951.23,Bad
COMBANTRIN 250 MG TABLET,intermittent,SBA,56.2,45.2,1.69,4.92,Bad
COUNTERPAIN CREAM 30G,intermittent,-,,,,,N/A
CTM TABLET,lumpy,-,,,,,N/A
CURVIT TABLET,lumpy,-,,,,,N/A
Candesartan 8mg Tab,intermittent,-,,,,,N/A
Combivent Respule,data tidak cukup,aturan stok,,,,,N/A
DEXAMETHASONE INJEKSI,erratic,SES,118.0,46.6,1.18,1.45,Tidak Layak
