obat,kategori_demand,metode_terbaik,WAPE_test,metode_cv,WAPE_test_cv,delta
ACETYLCYSTEIN KAP,smooth,SES,88.1,SES,77.6,-10.5
ACITRAL TAB,data tidak cukup,aturan stok,,aturan stok,,
ACYCLOVIR SALEP,intermittent,SBA,138.5,Croston,100.0,-38.5
ACYCLOVIR TABLET,intermittent,Croston,100.0,Croston,100.0,0.0
ALLOPURINOL TABLET,intermittent,SBA,45.5,SBA,55.2,9.7
AMBEVEN TABLET,intermittent,Croston,36.8,Croston,3.4,-33.4
AMBROXOL SIRUP,data tidak cukup,aturan stok,,aturan stok,,
AMBROXOL TABLET,lumpy,-,,-,,
AMLODIPINE 10 MG TABLET,smooth,SES,23.8,SES,23.5,-0.3
AMLODIPINE 5 MG,smooth,SES,17.9,SES,18.1,0.2
AMOXCICILIN SIRUP,intermittent,SBA,42.2,SBA,86.5,44.3
AMOXICILLIN TABLET,erratic,SES,,SES,,
ANTASIDA TABLET,data tidak cukup,aturan stok,,aturan stok,,
ANTRAIN TAB (METAMIZOLE SODIUM),data tidak cukup,aturan stok,,aturan stok,,
ARKAVIT-C TABLET,lumpy,SBA,100.1,SBA,100.0,-0.1
ASAM MEFENAMAT 500 MG TABLET,erratic,SES,30.6,SES,25.9,-4.7
AZITROMICYN TABLET,erratic,SES,45.6,SES,58.2,12.6
BECEFORT TAB,lumpy,-,,-,,
BECOMZET TABLET,erratic,SES,114.7,SES,104.4,-10.3
BEDAK SALISYL,data tidak cukup,aturan stok,,aturan stok,,
BENOSON-G SALEP,intermittent,-,,-,,
BENOSON-M SALEP,lumpy,-,,-,,
BENOSON-N 15 G SALEP,intermittent,SBA,100.0,Croston,100.0,0.0
BETADINE KUMUR,data tidak cukup,aturan stok,,aturan stok,,
BIOLYSIN KIDS TAB KUNYAH,data tidak cukup,aturan stok,,aturan stok,,
BIOPLACENTON,data tidak cukup,aturan stok,,aturan stok,,
"BISOPROLOL 2,5MG",data tidak cukup,aturan stok,,aturan stok,,
BISOPROROL 5 TABLET,lumpy,-,,-,,
BUSCOPAN INJEKSI,intermittent,-,,-,,
Betadine 15 ml,data tidak cukup,aturan stok,,aturan stok,,
CAIRAN INFUS NACL 500ML,lumpy,SBA,525.5,SBA,537.8,12.3
CAIRAN INFUS RINGER LAKTAT 500ML,intermittent,-,,-,,
CALLUSOL,intermittent,-,,-,,
CALORTUSIN TABLET,lumpy,-,,-,,
CANDESARTAN 16MG TAB,data tidak cukup,aturan stok,,aturan stok,,
CANDESARTAN 8MG TAB,data tidak cukup,aturan stok,,aturan stok,,
"CAPTOPRIL 12,5MG TABLET",intermittent,-,,-,,
CEFADROXIL 250MG SIRUP,data tidak cukup,aturan stok,,aturan stok,,
CEFADROXIL 500MG KAPSUL,erratic,SES,174.9,SES,150.5,-24.4
CEFIXIME 200MG,data tidak cukup,aturan stok,,aturan stok,,
CEFIXIME SIRUP,intermittent,Croston,38.9,Croston,58.4,19.5
CENDO LYTERS TETES MATA,data tidak cukup,aturan stok,,aturan stok,,
CENDOXITROL TETES MATA STERIL,intermittent,-,,-,,
CETIRIZINE 10 MG TABLET,smooth,SES,37.6,SES,36.8,-0.8
CETIRIZINE SIRUP,data tidak cukup,aturan stok,,aturan stok,,
CIPROFLOXASIN 500 MG TABLET,smooth,SES,38.8,SES,82.2,43.4
COMBANTRIN 250 MG TABLET,intermittent,SBA,149.5,SBA,37.3,-112.2
COUNTERPAIN CREAM 30G,intermittent,-,,-,,
CTM TABLET,lumpy,-,,-,,
CURVIT TABLET,lumpy,-,,-,,
Candesartan 8mg Tab,intermittent,-,,-,,
Combivent Respule,data tidak cukup,aturan stok,,aturan stok,,
DEXAMETHASONE INJEKSI,erratic,SES,354.4,SES,363.4,9.0
DEXAMETHASONE TABLET,data tidak cukup,aturan stok,,aturan stok,,
DIAFORM TABLET,intermittent,-,,-,,
DOMPERIDONE SIRUP,intermittent,-,,-,,
DOMPERIDONE TABLET,erratic,SES,85.0,SES,79.0,-6.0
DULCOLAX 5MG TABLET,intermittent,-,,-,,
Disposible syringe 10cc,data tidak cukup,aturan stok,,aturan stok,,
Disposible syringe 3cc,data tidak cukup,aturan stok,,aturan stok,,
ERLAMICETIN TETES MATA,intermittent,SBA,100.0,SBA,100.0,0.0
ERLAMICETIN TETES TELINGA,intermittent,SBA,100.0,SBA,100.0,0.0
ERYTHROMYCIN 500 MG TABLET,lumpy,-,,-,,
EXTROPECT (AMBROXOL) SIRUP,data tidak cukup,aturan stok,,aturan stok,,
Erlamycetin Saleb Mata,data tidak cukup,aturan stok,,aturan stok,,
FARSIFEN PLUS (PARASETAMOL + IBUPROFEN) TABLET,lumpy,-,,-,,
FG TROCES TABLET,erratic,SES,41.4,SES,33.5,-7.9
FIBUMIN KAP,data tidak cukup,aturan stok,,aturan stok,,
FLUTAMOL TABLET,lumpy,-,,-,,
GABAPENTIN 100MG,data tidak cukup,aturan stok,,aturan stok,,
GENTAMICYN SALEP,smooth,SES,,SES,,
GRANTUSIF TABLET,smooth,SES,80.1,SES,77.9,-2.2
Gencinolon,data tidak cukup,aturan stok,,aturan stok,,
HANSAPLAST PLESTER,data tidak cukup,aturan stok,,aturan stok,,
HEVIT PLUS TAB,intermittent,Croston,80.1,Croston,80.3,0.2
