Nama Obat,Segmen,Periode,Prediksi Demand,Stok Saat Ini,Safety Stock,ROP,Jumlah Rekomendasi,Status
METHYLPREDNISOLONE 4 MG TABLET,Fast-moving stabil,Januari 2026,1003.09,1040.0,723.66,957.71,686.75,PERLU DIPERHATIKAN
TUSELIX (TRIPROLIDIN =~ PSEUDOEFEDRIN) TAB,Fast-moving stabil,Januari 2026,616.0,374.0,141.73,285.46,383.73,PERLU DIPERHATIKAN
NEUROBION PUTIH TABLET,Fast-moving stabil,Januari 2026,278.92,250.0,158.33,223.41,187.25,PERLU DIPERHATIKAN
TREMENZA TAB,Medium-moving stabil,Januari 2026,200.0,100.0,46.02,92.68,146.02,PERLU DIPERHATIKAN
KASA STERIL,Slow-moving fluktuatif,Januari 2026,35.75,44.0,25.79,34.13,17.54,PERLU DIPERHATIKAN
HISTIGO (BETAHISTIN) 6 MG TABLET,Fast-moving stabil,Januari 2026,35.89,62.0,34.82,43.19,8.71,PERLU DIPERHATIKAN
PROMAVIT TABLET,Medium-moving stabil,Januari 2026,15.0,10.0,3.45,6.95,8.45,PERLU DIPERHATIKAN
WOODS EKSPEKTORAN SIRUP 100ML,Slow-moving fluktuatif,Januari 2026,6.42,6.0,3.21,4.71,3.63,PERLU DIPERHATIKAN
HUFAGRIP BP HIJAU SIRUP,Slow-moving fluktuatif,Januari 2026,5.33,6.0,3.79,5.03,3.12,PERLU DIPERHATIKAN
SCABICID (PERMEHETRIN 5%) CREAM 10G,Medium-moving stabil,Januari 2026,2.5,2.0,1.18,1.77,1.68,PERLU DIPERHATIKAN
IMBOOST KIDS SIRUP,Slow-moving fluktuatif,Januari 2026,1.83,3.0,2.01,2.43,0.84,PERLU DIPERHATIKAN
COUNTERPAIN CREAM 30G,Slow-moving fluktuatif,Januari 2026,0.81,5.0,4.36,4.55,0.17,PERLU DIPERHATIKAN
CURVIT TABLET,Slow-moving fluktuatif,Januari 2026,0.0,15.0,11.71,11.71,0.0,PERLU DIPERHATIKAN
HOT IN CREAM  60G,Slow-moving fluktuatif,Januari 2026,0.0,7.0,6.52,6.52,0.0,PERLU DIPERHATIKAN
LACTO B,Slow-moving fluktuatif,Januari 2026,1.05,9.0,7.03,7.27,0.0,PERLU DIPERHATIKAN
NEO-PROTIFED (TRIPROLIDIN + PSEUDOEFEDRIN) TAB,Fast-moving stabil,Januari 2026,0.0,390.0,351.84,351.84,0.0,PERLU DIPERHATIKAN
BECOMZET TABLET,Fast-moving stabil,Januari 2026,808.08,678.0,553.14,741.69,683.22,SEGERA RESTOK
ARKAVIT-C TABLET,Fast-moving stabil,Januari 2026,300.0,0.0,121.54,191.54,421.54,SEGERA RESTOK
