obat,kategori_demand,metode_terbaik,WAPE_test,parameter,ABC,VEN,AMC,safety_stock,Min,Max,stok_terkini,status,perlu_pesan,skor,kritis
DIAFORM TABLET,intermittent,-,,-,A,V,212.4,321,533,879,4.0,DI BAWAH MIN,875.0,6,True
ORALITE,smooth,SES,69.76009202593502,alpha=0.39,A,V,112.8,105,218,374,20.0,DI BAWAH MIN,354.0,6,True
METHYLPREDNISOLONE 4 MG TABLET,erratic,SES,32.20137166720002,alpha=0.2,A,E,761.4,1145,1907,3142,1040.0,DI BAWAH MIN,2102.0,5,True
BECOMZET TABLET,erratic,SES,104.35167340016433,alpha=0.6,A,E,628.5,923,1551,2562,678.0,DI BAWAH MIN,1884.0,5,True
NEO-PROTIFED (TRIPROLIDIN + PSEUDOEFEDRIN) TAB,intermittent,-,,-,A,E,554.8,744,1299,2162,390.0,DI BAWAH MIN,1772.0,5,True
PROMEDEX TAB,lumpy,SBA,100.45655496945417,"az=0.05,ap=0.05",A,E,380.6,1264,1645,2548,1533.0,DI BAWAH MIN,1015.0,5,True
OMEPRAZOLE KAPSUL,erratic,SES,49.654927546181824,alpha=0.6,A,E,337.5,753,1090,1739,890.0,DI BAWAH MIN,849.0,5,True
BECEFORT TAB,lumpy,-,,-,A,E,166.2,327,493,794,10.0,DI BAWAH MIN,784.0,5,True
NEUROBION PUTIH TABLET,smooth,SES,27.996152933208208,alpha=0.01,A,E,240.8,325,565,940,250.0,DI BAWAH MIN,690.0,5,True
TRIANTA TABLET,lumpy,-,,-,A,E,128.8,268,397,637,5.0,DI BAWAH MIN,632.0,5,True
GRANTUSIF TABLET,smooth,SES,80.08975769967245,alpha=0.05,A,E,318.8,382,701,1178,665.0,DI BAWAH MIN,513.0,5,True
NEUROBION FORTE/PINK TABLET,lumpy,SBA,191.88354830581042,"az=0.95,ap=0.05",A,E,117.0,318,435,684,217.0,DI BAWAH MIN,467.0,5,True
CEFADROXIL 500MG KAPSUL,erratic,SES,150.5077407023729,alpha=0.6,A,E,202.1,404,606,976,565.0,DI BAWAH MIN,411.0,5,True
ZEGAVIT TABLET,intermittent,-,,-,A,E,139.5,182,322,537,270.0,DI BAWAH MIN,267.0,5,True
DEXAMETHASONE TABLET,data tidak cukup,aturan stok,,-,B,E,936.0,0,936,1872,692.0,DI BAWAH MIN,1180.0,4,True
SELCOM C TABLET,lumpy,-,,-,B,E,82.5,267,350,543,15.0,DI BAWAH MIN,528.0,4,True
ARKAVIT-C TABLET,lumpy,SBA,100.12397157816004,"az=0.05,ap=0.05",B,E,50.0,241,291,441,0.0,DI BAWAH MIN,441.0,4,True
POLYSILANE TABLET,lumpy,-,,-,B,E,50.0,179,229,353,40.0,DI BAWAH MIN,313.0,4,True
INTRIZIN TAB (CETIRIZIN),lumpy,-,,-,B,E,95.0,201,296,474,170.0,DI BAWAH MIN,304.0,4,True
KETOCONAZOLE SALEP,lumpy,SBA,419.16268920753623,"az=0.3,ap=0.95",C,V,13.4,28,41,66,26.0,DI BAWAH MIN,40.0,4,True
LACTO B,intermittent,-,,-,C,V,6.7,16,23,36,9.0,DI BAWAH MIN,27.0,4,True
SCABICID (PERMEHETRIN 5%) CREAM 10G,intermittent,-,,-,C,V,0.6,2,3,4,2.0,DI BAWAH MIN,2.0,4,True
