,kategori_demand,metode_terbaik,parameter,WAPE_val,WAPE_test,mutu
HUFABETHAMINE SIRUP,erratic,SES,alpha=0.65,52.9,9.1,Excellent
CEFIXIME SIRUP,intermittent,Holt,"a=0.90,b=0.10",65.8,10.7,Good
SANGOBION KAPSUL,erratic,SBA,"az=0.50,ap=0.20",18.8,13.9,Good
AMLODIPINE 5 MG,smooth,MA,k=4,14.5,16.7,Good
WOODS EKSPEKTORAN SIRUP 100ML,smooth,SBA,"az=0.50,ap=0.50",42.4,18.9,Good
KETOROLAC INJEKSI,erratic,Croston,"az=0.05,ap=0.30",77.6,21.3,Bad
AMLODIPINE 10 MG TABLET,smooth,SBA,"az=0.05,ap=0.20",43.0,23.7,Bad
URINTER TABLET,intermittent,MA,k=2,65.4,30.7,Bad
ASAM MEFENAMAT 500 MG TABLET,erratic,MA,k=3,67.5,42.4,Bad
COMBANTRIN 250 MG TABLET,intermittent,SBA,"az=0.05,ap=0.05",74.7,43.3,Bad
FG TROCES TABLET,erratic,Naive,-,60.2,43.3,Bad
CETIRIZINE 10 MG TABLET,smooth,TSB,"a=0.30,b=0.05",37.8,45.4,Bad
ALLOPURINOL TABLET,intermittent,Holt,"a=0.50,b=0.05",95.4,56.3,Tidak layak
HISTIGO (BETAHISTIN) 6 MG TABLET,smooth,SBA,"az=0.05,ap=0.50",50.3,57.6,Tidak layak
SCOPMA PLUS (HYOSCINE + PARASETAMOL) TABLET,erratic,SBA,"az=0.50,ap=0.50",67.1,58.4,Tidak layak
AMBEVEN TABLET,intermittent,MA,k=3,71.7,61.1,Tidak layak
OMEPRAZOLE KAPSUL,erratic,Naive,-,57.6,63.6,Tidak layak
CEFADROXIL 500MG KAPSUL,erratic,SBA,"az=0.05,ap=0.50",74.5,66.4,Tidak layak
AZITROMICYN TABLET,erratic,MA,k=2,53.4,73.7,Tidak layak
AMOXCICILIN SIRUP,intermittent,Croston,"az=0.05,ap=0.05",65.1,75.8,Tidak layak
DOMPERIDONE TABLET,erratic,SBA,"az=0.05,ap=0.05",81.4,76.7,Tidak layak
HEVIT PLUS TAB,intermittent,Naive,-,100.0,78.7,Tidak layak
RANITIDINE TABLET,smooth,SES,alpha=0.05,53.4,83.2,Tidak layak
CIPROFLOXASIN 500 MG TABLET,smooth,SES,alpha=0.85,45.5,84.0,Tidak layak
ACETYLCYSTEIN KAP,smooth,SES,alpha=0.85,30.5,88.1,Tidak layak
GRANTUSIF TABLET,smooth,Croston,"az=0.05,ap=0.50",53.4,89.8,Tidak layak
ORALITE,smooth,SES,alpha=0.50,23.0,95.4,Tidak layak
METHYLPREDNISOLONE 4 MG TABLET,erratic,Croston,"az=0.20,ap=0.05",53.9,95.8,Tidak layak
WOODS ANTITUSIVE SIRUP 100ML,lumpy,Holt,"a=0.70,b=0.05",81.0,100.0,Tidak layak
